,holding,total
2002-07-22,"[('KMX', 8.460000038146973, 5.399641128684188), ('LH', 28.850000381469727, 1.5833956170062633), ('WRB', 6.518518924713135, 7.007874746127013)]",137.04289246394455
2002-07-29,"[('KMX', 7.585000038146973, 6.13179457231344), ('LH', 32.25, 1.4421600640281194), ('WRB', 6.779259204864502, 6.860581762611103)]",139.52898619472055
2002-08-05,"[('KMX', 7.400000095367432, 6.403022831509455), ('LH', 34.2599983215332, 1.3830231139862283), ('WRB', 6.9037041664123535, 6.863325603425008)]",142.14710869142942
2002-08-12,"[('KMX', 7.650000095367432, 6.283540871370125), ('LH', 34.70000076293945, 1.3852762884249186), ('WRB', 6.881975173950195, 6.984780829663378)]",144.20726479567983
2002-08-19,"[('KMX', 8.239999771118164, 5.796517024595137), ('LH', 31.75, 1.5043558726282353), ('WRB', 6.804937839508057, 7.018917745088379)]",143.28989686783942
2002-08-26,"[('KMX', 8.074999809265137, 5.8116357472575135), ('LH', 31.450000762939453, 1.4921766744732086), ('WRB', 6.648889064788818, 7.058165220284574)]",140.7868726518686
2002-09-02,"[('KMX', 9.510000228881836, 5.201275478770393), ('LH', 30.360000610351562, 1.6292532937801918), ('WRB', 6.775309085845947, 7.300645677835958)]",148.39239298075174
2002-09-09,"[('KMX', 9.25, 5.472777525403559), ('LH', 33.279998779296875, 1.5211296264071696), ('WRB', 6.785184860229492, 7.460841989244006)]",151.86957632994876
2002-09-16,"[('KMX', 8.324999809265137, 5.807343099814967), ('LH', 32.650001525878906, 1.480738987407915), ('WRB', 6.676543235778809, 7.241191810039602)]",145.03839059489044
2002-09-23,"[('KMX', 7.679999828338623, 6.195664611112436), ('LH', 34.0, 1.399491269111388), ('WRB', 6.601480960845947, 7.20788311471396)]",142.74810944936158
2002-09-30,"[('KMX', 7.684999942779541, 5.3981907396500715), ('LH', 21.68000030517578, 1.9135191393618152), ('WRB', 6.451357841491699, 6.430444031257079)]",124.45528657597154
2002-10-07,"[('KMX', 7.224999904632568, 5.646711643984525), ('LH', 21.049999237060547, 1.9381231623727522), ('WRB', 6.704197883605957, 6.085364990350231)]",122.39247326782743
2002-10-14,"[('KMX', 7.775000095367432, 5.524846861476973), ('LH', 22.719999313354492, 1.8906552012800977), ('WRB', 6.725925922393799, 6.386583106997069)]",128.86705462462174
2002-10-21,"[('KMX', 8.550000190734863, 5.093702827312138), ('LH', 21.200000762939453, 2.0542999329131617), ('WRB', 6.785184860229492, 6.418566485982592)]",130.65348043519649
